"COMPONENTID","COMPONENTNAME","FUNCTION"
"CP353","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"CP354","Parameters","Performs primary pump operation"
"CP355","Security Status","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP356","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP357","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP358","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP359","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"CP360","Operation Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP361","Drug Libary Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP362","Event Logger Thread","The patient should receive enough drug to relieve the pain."
"CP363","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP364","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP365","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP366","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"CP367","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP368","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP369","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP370","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP371","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP372","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"CP373","Alarm Thread","Performs primary pump operation"
"CP374","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP375","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP376","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP377","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP378","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP379","ICE Bus Adapter","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP380","Commands","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP381","Parameters","The patient should receive enough drug to relieve the pain."
"CP382","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP383","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP384","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP385","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP386","Operation Process","The patient should not receive so much drug that makes him unaware"
"CP387","Operation Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP388","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP389","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP390","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP391","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP392","Security Subsystem","Performs primary pump operation"
"CP393","Pump","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP394","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP395","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP396","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP397","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"CP398","Safety","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP399","Failture LED","The fault logger records all errors that are detected. As such it is pure hardware that"
