"SUBCOMPONENTID","COMPONENTNAME","FUNCTION"
"SCP327","Operation Thread","Performs primary pump operation"
"SCP328","Drug Libary Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP329","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP330","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP331","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP332","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP333","Pump","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP334","Error Dector","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP335","Fault Logger","The patient should receive enough drug to relieve the pain."
"SCP336","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP337","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP338","ICE Bus Adapter","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP339","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP340","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP341","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP342","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP343","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP344","Alarms","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP345","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP346","Control Panel","The patient should not receive so much drug that makes him unaware"
"SCP347","Operation Process","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP348","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP349","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP350","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP351","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP352","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"SCP353","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP354","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP355","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP356","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP357","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP358","Power Control","Performs primary pump operation"
"SCP359","Control Panel","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP360","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP361","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP362","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP363","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP364","Scanner","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP365","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP366","Security Subsystem","The patient should receive enough drug to relieve the pain."
"SCP367","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP368","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP369","Fault Logger","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP370","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
