"EXCEPTIONCASESTEPID","DESCRIPTION"
"ECS691","Bolus request denied because minimum time between boluses had not elapsed."
"ECS692","blockage between pump and patient"
"ECS693","blockage between reservoir and pump"
"ECS694","bubble detection"
"ECS695","dose reaches maximum allowed by drug library"
"ECS696","clinician not authorized to operate pump"
"ECS697","basal rate or bolus VTBI exceeded hard limit"
"ECS698","power-on self test fails"
"ECS699","PCA pump detects its own failure"
"ECS700","pump fails to prime after loading drug reservoir"
"ECS701","measured flow rate exceeds setting"
"ECS702","measured flow rate below setting"
"ECS703","pump temperature exceeds 55 C"
"ECS704","ng drug reservoir"
"ECS705","measured flow rate exceeds setting"
"ECS706","patient not admitted to hospital"
"ECS707","drug or prescription not intended for this patient"
"ECS708","no audible alarm"
"ECS709","indication of no ICE alarms enabled"
"ECS710","Bolus request denied because minimum time between boluses had not elapsed."
"ECS711","blockage between pump and patient"
"ECS712","blockage between reservoir and pump"
"ECS713","bubble detection"
"ECS714","dose reaches maximum allowed by drug library"
"ECS715","clinician not authorized to operate pump"
"ECS716","patient not admitted to hospital"
"ECS717","the drug libary fails authenticity or integrity check"
"ECS718","basal rate or bolus VTBI exceeded soft limit"
"ECS719","measured flow rate below setting"
"ECS720","pump temperature exceeds 55 C"
"ECS721","Bolus request denied because minimum time between boluses had not elapsed."
"ECS722","blockage between pump and patient"
"ECS723","blockage between reservoir and pump"
"ECS724","bubble detection"
"ECS725","dose reaches maximum allowed by drug library"
"ECS726","clinician not authorized to operate pump"
"ECS727","basal rate or bolus VTBI exceeded hard limit"
"ECS728","power-on self test fails"
"ECS729","PCA pump detects its own failure"
"ECS730","pump fails to prime after loading drug reservoir"
"ECS731","measured flow rate exceeds setting"
"ECS732","measured flow rate below setting"
"ECS733","pump temperature exceeds 55 C"
"ECS734","ng drug reservoir"
"ECS735","measured flow rate exceeds setting"
"ECS736","patient not admitted to hospital"
"ECS737","drug or prescription not intended for this patient"
"ECS738","no audible alarm"
"ECS739","indication of no ICE alarms enabled"
"ECS740","Bolus request denied because minimum time between boluses had not elapsed."
"ECS741","blockage between pump and patient"
"ECS742","blockage between reservoir and pump"
"ECS743","bubble detection"
"ECS744","dose reaches maximum allowed by drug library"
"ECS745","clinician not authorized to operate pump"
"ECS746","patient not admitted to hospital"
"ECS747","the drug libary fails authenticity or integrity check"
"ECS748","basal rate or bolus VTBI exceeded soft limit"
"ECS749","measured flow rate below setting"
"ECS750","pump temperature exceeds 55 C"
"ECS751","Bolus request denied because minimum time between boluses had not elapsed."
"ECS752","blockage between pump and patient"
"ECS753","blockage between reservoir and pump"
"ECS754","bubble detection"
"ECS755","dose reaches maximum allowed by drug library"
"ECS756","clinician not authorized to operate pump"
"ECS757","basal rate or bolus VTBI exceeded hard limit"
"ECS758","power-on self test fails"
"ECS759","PCA pump detects its own failure"
"ECS760","pump fails to prime after loading drug reservoir"
"ECS761","measured flow rate exceeds setting"
"ECS762","measured flow rate below setting"
"ECS763","pump temperature exceeds 55 C"
"ECS764","ng drug reservoir"
"ECS765","measured flow rate exceeds setting"
"ECS766","patient not admitted to hospital"
"ECS767","drug or prescription not intended for this patient"
"ECS768","no audible alarm"
"ECS769","indication of no ICE alarms enabled"
"ECS770","Bolus request denied because minimum time between boluses had not elapsed."
"ECS771","blockage between pump and patient"
"ECS772","blockage between reservoir and pump"
"ECS773","bubble detection"
"ECS774","dose reaches maximum allowed by drug library"
"ECS775","clinician not authorized to operate pump"
"ECS776","patient not admitted to hospital"
"ECS777","the drug libary fails authenticity or integrity check"
"ECS778","basal rate or bolus VTBI exceeded soft limit"
"ECS779","measured flow rate below setting"
"ECS780","pump temperature exceeds 55 C"
"ECS781","Bolus request denied because minimum time between boluses had not elapsed."
"ECS782","blockage between pump and patient"
"ECS783","blockage between reservoir and pump"
"ECS784","bubble detection"
"ECS785","dose reaches maximum allowed by drug library"
"ECS786","clinician not authorized to operate pump"
"ECS787","basal rate or bolus VTBI exceeded hard limit"
"ECS788","power-on self test fails"
"ECS789","PCA pump detects its own failure"
"ECS790","pump fails to prime after loading drug reservoir"
"ECS791","measured flow rate exceeds setting"
"ECS792","measured flow rate below setting"
"ECS793","pump temperature exceeds 55 C"
"ECS794","ng drug reservoir"
"ECS795","measured flow rate exceeds setting"
"ECS796","patient not admitted to hospital"
"ECS797","drug or prescription not intended for this patient"
"ECS798","no audible alarm"
"ECS799","indication of no ICE alarms enabled"
"ECS800","Bolus request denied because minimum time between boluses had not elapsed."
"ECS801","blockage between pump and patient"
"ECS802","blockage between reservoir and pump"
"ECS803","bubble detection"
"ECS804","dose reaches maximum allowed by drug library"
"ECS805","clinician not authorized to operate pump"
"ECS806","patient not admitted to hospital"
"ECS807","the drug libary fails authenticity or integrity check"
"ECS808","basal rate or bolus VTBI exceeded soft limit"
"ECS809","measured flow rate below setting"
"ECS810","pump temperature exceeds 55 C"
"ECS811","Bolus request denied because minimum time between boluses had not elapsed."
"ECS812","blockage between pump and patient"
"ECS813","blockage between reservoir and pump"
"ECS814","bubble detection"
"ECS815","dose reaches maximum allowed by drug library"
"ECS816","clinician not authorized to operate pump"
"ECS817","basal rate or bolus VTBI exceeded hard limit"
"ECS818","power-on self test fails"
"ECS819","PCA pump detects its own failure"
"ECS820","pump fails to prime after loading drug reservoir"
"ECS821","measured flow rate exceeds setting"
"ECS822","measured flow rate below setting"
"ECS823","pump temperature exceeds 55 C"
"ECS824","ng drug reservoir"
"ECS825","measured flow rate exceeds setting"
"ECS826","patient not admitted to hospital"
"ECS827","drug or prescription not intended for this patient"
"ECS828","no audible alarm"
"ECS829","indication of no ICE alarms enabled"
"ECS830","Bolus request denied because minimum time between boluses had not elapsed."
"ECS831","blockage between pump and patient"
"ECS832","blockage between reservoir and pump"
"ECS833","bubble detection"
"ECS834","dose reaches maximum allowed by drug library"
"ECS835","clinician not authorized to operate pump"
"ECS836","patient not admitted to hospital"
"ECS837","the drug libary fails authenticity or integrity check"
"ECS838","basal rate or bolus VTBI exceeded soft limit"
"ECS839","measured flow rate below setting"
"ECS840","pump temperature exceeds 55 C"
"ECS841","Bolus request denied because minimum time between boluses had not elapsed."
"ECS842","blockage between pump and patient"
"ECS843","blockage between reservoir and pump"
"ECS844","bubble detection"
"ECS845","dose reaches maximum allowed by drug library"
"ECS846","clinician not authorized to operate pump"
"ECS847","basal rate or bolus VTBI exceeded hard limit"
"ECS848","power-on self test fails"
"ECS849","PCA pump detects its own failure"
"ECS850","pump fails to prime after loading drug reservoir"
"ECS851","measured flow rate exceeds setting"
"ECS852","measured flow rate below setting"
"ECS853","pump temperature exceeds 55 C"
"ECS854","ng drug reservoir"
"ECS855","measured flow rate exceeds setting"
"ECS856","patient not admitted to hospital"
"ECS857","drug or prescription not intended for this patient"
"ECS858","no audible alarm"
"ECS859","indication of no ICE alarms enabled"
"ECS860","Bolus request denied because minimum time between boluses had not elapsed."
"ECS861","blockage between pump and patient"
"ECS862","blockage between reservoir and pump"
"ECS863","bubble detection"
"ECS864","dose reaches maximum allowed by drug library"
"ECS865","clinician not authorized to operate pump"
"ECS866","patient not admitted to hospital"
"ECS867","the drug libary fails authenticity or integrity check"
"ECS868","basal rate or bolus VTBI exceeded soft limit"
"ECS869","measured flow rate below setting"
"ECS870","pump temperature exceeds 55 C"
"ECS871","Bolus request denied because minimum time between boluses had not elapsed."
"ECS872","blockage between pump and patient"
"ECS873","blockage between reservoir and pump"
"ECS874","bubble detection"
"ECS875","dose reaches maximum allowed by drug library"
"ECS876","clinician not authorized to operate pump"
"ECS877","basal rate or bolus VTBI exceeded hard limit"
"ECS878","power-on self test fails"
"ECS879","PCA pump detects its own failure"
"ECS880","pump fails to prime after loading drug reservoir"
"ECS881","measured flow rate exceeds setting"
"ECS882","measured flow rate below setting"
"ECS883","pump temperature exceeds 55 C"
"ECS884","ng drug reservoir"
"ECS885","measured flow rate exceeds setting"
"ECS886","patient not admitted to hospital"
"ECS887","drug or prescription not intended for this patient"
"ECS888","no audible alarm"
"ECS889","indication of no ICE alarms enabled"
"ECS890","Bolus request denied because minimum time between boluses had not elapsed."
"ECS891","blockage between pump and patient"
"ECS892","blockage between reservoir and pump"
"ECS893","bubble detection"
"ECS894","dose reaches maximum allowed by drug library"
"ECS895","clinician not authorized to operate pump"
"ECS896","patient not admitted to hospital"
"ECS897","the drug libary fails authenticity or integrity check"
"ECS898","basal rate or bolus VTBI exceeded soft limit"
"ECS899","measured flow rate below setting"
"ECS900","pump temperature exceeds 55 C"
"ECS901","Bolus request denied because minimum time between boluses had not elapsed."
"ECS902","blockage between pump and patient"
"ECS903","blockage between reservoir and pump"
"ECS904","bubble detection"
"ECS905","dose reaches maximum allowed by drug library"
"ECS906","clinician not authorized to operate pump"
"ECS907","basal rate or bolus VTBI exceeded hard limit"
"ECS908","power-on self test fails"
"ECS909","PCA pump detects its own failure"
"ECS910","pump fails to prime after loading drug reservoir"
"ECS911","measured flow rate exceeds setting"
"ECS912","measured flow rate below setting"
"ECS913","pump temperature exceeds 55 C"
"ECS914","ng drug reservoir"
"ECS915","measured flow rate exceeds setting"
"ECS916","patient not admitted to hospital"
"ECS917","drug or prescription not intended for this patient"
"ECS918","no audible alarm"
"ECS919","indication of no ICE alarms enabled"
"ECS920","Bolus request denied because minimum time between boluses had not elapsed."
"ECS921","blockage between pump and patient"
"ECS922","blockage between reservoir and pump"
"ECS923","bubble detection"
"ECS924","dose reaches maximum allowed by drug library"
"ECS925","clinician not authorized to operate pump"
"ECS926","patient not admitted to hospital"
