"EXCEPTIONCASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"EC383","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC384","ICE app","Air-in-line Embolism","bubble detection"
"EC385","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC386","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC387","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC388","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC389","Patient","Sound Failure","no audible alarm"
"EC390","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC391","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC392","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC393","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC394","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC395","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC396","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC397","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC398","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC399","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC400","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC401","Patient","Downstream Occlusion","blockage between pump and patient"
"EC402","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC403","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC404","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC405","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC406","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC407","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC408","ICE app","Sound Failure","no audible alarm"
"EC409","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC410","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC411","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC412","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC413","Patient","Power-On Self Test Failure","power-on self test fails"
"EC414","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC415","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC416","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC417","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC418","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC419","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC420","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC421","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC422","Clinician","Air-in-line Embolism","bubble detection"
"EC423","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC424","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC425","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC426","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC427","Patient or Clinician","Sound Failure","no audible alarm"
"EC428","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC429","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC430","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC431","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC432","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC433","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC434","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC435","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC436","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC437","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC438","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC439","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC440","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC441","Patient","Air-in-line Embolism","bubble detection"
"EC442","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC443","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC444","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC445","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC446","Clinician","Sound Failure","no audible alarm"
"EC447","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC448","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC449","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC450","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC451","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC452","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC453","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC454","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC455","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC456","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC457","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC458","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC459","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC460","ICE app","Air-in-line Embolism","bubble detection"
"EC461","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC462","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC463","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC464","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC465","Patient","Sound Failure","no audible alarm"
"EC466","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC467","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC468","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC469","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC470","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC471","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC472","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC473","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC474","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC475","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC476","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC477","Patient","Downstream Occlusion","blockage between pump and patient"
"EC478","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC479","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC480","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC481","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC482","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC483","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC484","ICE app","Sound Failure","no audible alarm"
"EC485","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC486","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC487","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC488","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC489","Patient","Power-On Self Test Failure","power-on self test fails"
"EC490","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC491","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC492","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC493","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC494","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC495","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC496","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC497","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC498","Clinician","Air-in-line Embolism","bubble detection"
"EC499","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC500","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC501","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC502","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC503","Patient or Clinician","Sound Failure","no audible alarm"
"EC504","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC505","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC506","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC507","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC508","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC509","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC510","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC511","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC512","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
