"USECASESTEPID","STEPDESCRIPTION"
"UseCaseStep313","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep314","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep315"," "
"UseCaseStep316","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep317","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep318","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep319","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep320"," "
"UseCaseStep321","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep322","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep323","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep324","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep325"," "
"UseCaseStep326","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep327","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep328","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep329","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep330"," "
"UseCaseStep331","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep332","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep333","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep334","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep335"," "
"UseCaseStep336","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep337","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep338","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep339","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep340"," "
"UseCaseStep341","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep342","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep343","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep344","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep345"," "
"UseCaseStep346","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep347","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep348","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep349","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep350"," "
"UseCaseStep351","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep352","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep353","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep354","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep355"," "
"UseCaseStep356","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep357","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep358","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep359","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep360"," "
"UseCaseStep361","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep362","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep363","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep364","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep365"," "
"UseCaseStep366","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep367","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep368","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep369","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep370"," "
"UseCaseStep371","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep372","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep373","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep374","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep375"," "
"UseCaseStep376","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep377","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep378","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep379","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep380"," "
"UseCaseStep381","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep382","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep383","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep384","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep385"," "
"UseCaseStep386","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep387","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep388","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep389","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep390"," "
"UseCaseStep391","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep392","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep393","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep394","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep395"," "
"UseCaseStep396","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep397","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep398","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep399","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep400"," "
"UseCaseStep401","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep402","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep403","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep404","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep405"," "
"UseCaseStep406","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep407","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep408","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep409","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep410"," "
"UseCaseStep411","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep412","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep413","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep414","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep415"," "
"UseCaseStep416","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep417","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep418","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep419","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep420"," "
"UseCaseStep421","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep422","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep423","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
