"USECASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"UC247","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC248","ICE app","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC249","Clinician","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC250","Clinician or APP","Resume Infusion"," "
"UC251","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC252","Clinician","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC253","Patient","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC254","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC255","ICE app","Clinician-Requested Bolus"," "
"UC256","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC257","Clinician or APP","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC258","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC259","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC260","Patient","Flush Pump"," "
"UC261","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC262","ICE app","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC263","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC264","Clinician or APP","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC265","Clinician","ICE-Dectected Hazard"," "
"UC266","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC267","Patient","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC268","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC269","ICE app","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC270","Clinician","Prime Pump"," "
"UC271","Clinician or APP","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC272","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC273","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC274","Patient","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC275","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC276","ICE app","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC277","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC278","Clinician or APP","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC279","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC280","Clinician","normal Operation"," "
"UC281","Patient","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC282","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC283","ICE app","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC284","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC285","Clinician or APP","ICE-initiated Audible Alarm Inactivation"," "
"UC286","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC287","Clinician","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC288","Patient","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC289","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC290","ICE app","Patient-Requested Bolus"," "
"UC291","Clinician","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC292","Clinician or APP","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC293","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC294","Clinician","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC295","Patient","Resume Infusion"," "
"UC296","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC297","ICE app","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC298","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC299","Clinician or APP","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC300","Clinician","Clinician-Requested Bolus"," "
"UC301","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC302","Patient","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC303","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC304","ICE app","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC305","Clinician","Flush Pump"," "
"UC306","Clinician or APP","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC307","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC308","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC309","Patient","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC310","Clinician","ICE-Dectected Hazard"," "
"UC311","ICE app","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC312","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC313","Clinician or APP","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC314","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC315","Clinician","Prime Pump"," "
"UC316","Patient","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC317","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC318","ICE app","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC319","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC320","Clinician or APP","Resume Operation After ICE-Dected Hazard"," "
"UC321","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC322","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC323","Patient","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC324","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC325","ICE app","normal Operation"," "
"UC326","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC327","Clinician or APP","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC328","Clinician","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC329","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC330","Patient","ICE-initiated Audible Alarm Inactivation"," "
"UC331","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC332","ICE app","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC333","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC334","Clinician or APP","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
